Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
SLAVYANKA,856484,8502432,FRIO CANARIAS,UBPC,Vladivostok,Russia,KM* REF,,Refrigerated cargo ship,28/05/1985,Japan,1117,,,4109 MK-1969,2105 MK-1969,4886.000 t.,7555 t.,112.00 m.,112.00 m.,102.00 m.,16.20 m.,9.80 m.,7.35 m.,18.0,Diesel,Built ME: 1985 Country Construction: Japan The company has built ME: The number and power of ME: 1*3272 Mark ME: 6UEC 45L,,1 - Fixed pitched solid propeller,4,2* 500,,REF*,-25,R22,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Simplified voyage data recorder Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,3* 5108,,,1,6,,,,,6*3.0,,1041,"Diesel oil, Heavy oil",221 m3,,842,Cat2,44.0,"METELITSA Ltd.  Address: Russia, 690001 Vladivostok, ul. Pushkinskaya, d. 40, of. 702 IMO: 5923135 Email: disp@bosfor.pro Company Website:","METELITSA Ltd.  Address: Russia, 690001 Vladivostok, ul. Pushkinskaya, d. 40, of. 702 IMO: 5923135 Email: disp@bosfor.pro Company Website:",,"METELITSA Ltd.  Address: Russia, 690001 Vladivostok, ul. Pushkinskaya, d. 40, of. 702 IMO: 5923135 Email: disp@bosfor.pro Company Website:","METELITSA Ltd.  Address: Russia, 690001 Vladivostok, ul. Pushkinskaya, d. 40, of. 702 IMO: 5923135 Email: disp@bosfor.pro Company Website:"
VOLGOTRANS-2701,160322,9823039,,UBHP4,Bolshoy port of St.-Petersburg,Russia,KM(*) Ice1 [1] R2 AUT1-ICS OMBO VCS ECO-S oil/chemical tanker type 2(ESP),,Oil tanker/Chemical tanker,24/07/2017,Russia,23,,,5077 MK-1969,2026 MK-1969,7000.000 t.,9483 t.,140.85 m.,-,136.29 m.,16.86 m.,6.00 m.,4.20 m.,10.0,Diesel,Built ME: Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Swingning propeller unit,4,3* 296,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",,,6* 7828,,1,8,,,,,,,311,"Diesel oil, Heavy oil",4763 m3,ПТПГ,739,Cat2,36.0,"Joint-stock company ""ENGINEERING INDUSTRIAL LEASING COMPANY""  Address: Russia, 115054 Moscow, ul.Shchipok, 11, str. 1 IMO: Email: Company Website:","VOLGOTRANS LTD  Address: Russia, 443041 Samara, ul. Agibalova, d. 48 IMO: 5511841 Email: vt@volgotrans.com Company Website:","VOLGOTRANS LTD  Address: Russia, 443041 Samara, ul. Agibalova, d. 48 IMO: 5511841 Email: vt@volgotrans.com Company Website:","VOLGOTRANS LTD  Address: Russia, 443041 Samara, ul. Agibalova, d. 48 IMO: 5511841 Email: vt@volgotrans.com Company Website:","VOLGOTRANS LTD  Address: Russia, 443041 Samara, ul. Agibalova, d. 48 IMO: 5511841 Email: vt@volgotrans.com Company Website:"
VOLGOTRANS-2702,160341,9823065,,UIAX,Bolshoy port of St.-Petersburg,Russia,KM(*) Ice1 [1] R2 AUT1-ICS OMBO VCS ECO-S oil/chemical tanker type 2(ESP),,Oil tanker/Chemical tanker,10/08/2017,Russia,24,,,5077 MK-1969,2026 MK-1969,6980.000 t.,9483 t.,140.85 m.,-,136.29 m.,16.86 m.,6.00 m.,4.20 m.,10.0,Diesel,Built ME: Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Swingning propeller unit,4,3* 296,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",,,6* 7828,,1,8,,,,,1*3.0,,311,"Diesel oil, Heavy oil",4763 m3,ПТПГ,739,Cat2,36.0,"Joint-stock company ""ENGINEERING INDUSTRIAL LEASING COMPANY""  Address: Russia, 115054 Moscow, ul.Shchipok, 11, str. 1 IMO: Email: Company Website:","VOLGOTRANS LTD  Address: Russia, 443041 Samara, ul. Agibalova, d. 48 IMO: 5511841 Email: vt@volgotrans.com Company Website:","VOLGOTRANS LTD  Address: Russia, 443041 Samara, ul. Agibalova, d. 48 IMO: 5511841 Email: vt@volgotrans.com Company Website:","VOLGOTRANS LTD  Address: Russia, 443041 Samara, ul. Agibalova, d. 48 IMO: 5511841 Email: vt@volgotrans.com Company Website:","VOLGOTRANS LTD  Address: Russia, 443041 Samara, ul. Agibalova, d. 48 IMO: 5511841 Email: vt@volgotrans.com Company Website:"
TAURUS,030720,9281035,TAURUS,UBEJ,Petropavlovsk-Kamchatskiy,Russia,KM* Ice1 fishing vessel,,Fishing,17/10/2003,Norway,180,,,2190 MK-1969,657 MK-1969,2623.000 t.,4320 t.,66.60 m.,66.60 m.,58.10 m.,14.50 m.,9.00 m.,7.25 m.,14.6,Diesel,Built ME: 2003 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 1*6000 Mark ME: 12V32,,1 - Controllable pitch propeller,4,1* 2400 1* 910 1* 260,,,-2,R717,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,12* 1940,,,2,6,,,,Р 9 - 1.5*1.8Р 3 - 1.5*1.8,,,552,Diesel oil,134 m3,,630,Cat2,38.0,"FISHING COMPANY ""LUNTOS"" CO., LTD  Address: Russia, 683001 Petropavlovsk-Kamchatskiy, a/ya 157 IMO: 1854874 Email: luntos@inbox.ru Company Website:","FISHING COMPANY ""LUNTOS"" CO., LTD  Address: Russia, 683001 Petropavlovsk-Kamchatskiy, a/ya 157 IMO: 1854874 Email: luntos@inbox.ru Company Website:",,,
ASBJORN,980681,9191735,ASBJORN SENIOR,UALP,Nevelsk,Russia,KM* L4 fishing vessel,,Fishing,07/01/2000,Denmark,377,,,1372 MK-1969,411 MK-1969,1678.000 t.,3211 t.,65.30 m.,65.30 m.,57.00 m.,12.00 m.,7.96 m.,7.00 m.,16.0,Diesel,Built ME: 1999 Country Construction: Germany The company has built ME: The number and power of ME: 1*2004 Mark ME: MAK 9M32,,4 - Controllable pitch propeller,1,1* 2000 1* 910 1* 250,,,-2,R717,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,12* 1268,,2,6,,,,Р 9 - 1.4*1.4Р 3 - 1.4*1.4,,,339,Diesel oil,79 m3,,,Cat2,34.0,"PCF Yuzhno-Kyrilsky Ryibocombinat Co. Ltd.  Address: Russia, 693020, Yuzhno-Sakhalinsk, ul. Karla Marksa, 20, office 112 IMO: 1542127 Email: yukr@yukr.ru Company Website:","PCF Yuzhno-Kyrilsky Ryibocombinat Co. Ltd.  Address: Russia, 693020, Yuzhno-Sakhalinsk, ul. Karla Marksa, 20, office 112 IMO: 1542127 Email: yukr@yukr.ru Company Website:",,,
DISPATCHER,160356,9910870,DISPATCHER,UBBV4,Taganrog,Russia,KM(*) R3 AUT3 passenger ship,,Passenger ship,16/09/2020,Bulgaria,4031,,,114,34,23.000 t.,139 t.,23.27 m.,23.27 m.,21.54 m.,6.78 m.,3.00 m.,1.89 m.,12.0,Diesel,Built ME: 2015 Country Construction: Sweden The company has built ME: AB VOLVO PENTA The number and power of ME: 2*261 Mark ME:,,2 - Fixed pitched solid propeller,5,2* 62,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,,35,,,,,11,Diesel oil,13 m3,,67,Cat2,12.5,"Granvik Shipping S.A.  Address: Gabriel-De-Rumine 20, 1005, Lausanne, Switzerland IMO: Email: Company Website:","UltraMarin M Ltd  Address: Russia, 115054 Moscow, ul.Tatarskaya, d.18, pom.V IMO: 5849490 Email: info@umship.com Company Website:","UltraMarin M Ltd  Address: Russia, 115054 Moscow, ul.Tatarskaya, d.18, pom.V IMO: 5849490 Email: info@umship.com Company Website:",,
AKVAMARIN,000477,9210311,BBC NORTHSEA,UEXD,Korsakov,Russia,KM* IA AUT1,,General cargo,01/12/2000,Poland,8203/8,,,6204 MK-1969,2945 MK-1969,7661.000 t.,11028 t.,107.78 m.,107.78 m.,102.24 m.,18.20 m.,10.10 m.,7.50 m.,12.0,Diesel,Built ME: 2000 Country Construction: Germany The company has built ME: The number and power of ME: 1*3840 Mark ME: 8L 32/40,,1 - Controllable pitch propeller,4,2* 312 1* 424,,,,,"Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio station for life-saving craft Rate of turn indicator Satellite communication system Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Simplified voyage data recorder Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",1*10547,,,,1,5,,,,,,2*80.0 1*5.0,421,"Heavy oil, Diesel oil",2592 m3,,1300,Cat3,48.0,"""UNIVERSAL LEASING COMPANY"", JOINT-STOCK COMPANY  Address: Russia, 680028 Khabarovsk, ul.Turgeneva, 96, str.1 IMO: Email: ulk@ulk.ru Company Website:","""AMUR SHIPPING COMPANY"", JOINT-STOCK  Address: Russia, 680000 Khabarovsk, ul. Muraveva-Amurskogo, 2 IMO: 0555505 Email: amurship@amurship.ru Company Website:","""AMUR SHIPPING COMPANY"", JOINT-STOCK  Address: Russia, 680000 Khabarovsk, ul. Muraveva-Amurskogo, 2 IMO: 0555505 Email: amurship@amurship.ru Company Website:","""AMUR SHIPPING COMPANY"", JOINT-STOCK  Address: Russia, 680000 Khabarovsk, ul. Muraveva-Amurskogo, 2 IMO: 0555505 Email: amurship@amurship.ru Company Website:","""AMUR SHIPPING COMPANY"", JOINT-STOCK  Address: Russia, 680000 Khabarovsk, ul. Muraveva-Amurskogo, 2 IMO: 0555505 Email: amurship@amurship.ru Company Website:"
GAUR,897569,8688925,ОТ-2457,UAWE8,Novorossiysk,Russia,"KM* Ice2 R2-RSN(4,5) tug",,Tug,12/12/1989,Hungary,1978,,,841 MK-1969,252 MK-1969,197.000 t.,960 t.,51.63 m.,-,50.00 m.,12.02 m.,3.30 m.,2.30 m.,11.0,Diesel,"Built ME: 1989 Country Construction: Russia The company has built ME: RUMO, OJSC The number and power of ME: 2*883 Mark ME: 6CHRN 36/45",,2 - Fixed pitched solid propeller,5,2* 150 1* 50,,,,,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,6,,,,,,,194,Diesel oil,114 m3,,275,Cat2,26.0,"ARK SHIPPING LTD.  Address: Russia, 125445 Moscow, vn.ter.g. munitsipalnyy okrug Levoberezhnyy, Leningradskoe sh., d.69, korp.1, et.3, pom. I, komn. 24 IMO: 5103272 Email: office@arkship.com; safety@arkship.com Company Website:",,,"ARK SHIPPING LTD.  Address: Russia, 125445 Moscow, vn.ter.g. munitsipalnyy okrug Levoberezhnyy, Leningradskoe sh., d.69, korp.1, et.3, pom. I, komn. 24 IMO: 5103272 Email: office@arkship.com; safety@arkship.com Company Website:","ARK SHIPPING LTD.  Address: Russia, 125445 Moscow, vn.ter.g. munitsipalnyy okrug Levoberezhnyy, Leningradskoe sh., d.69, korp.1, et.3, pom. I, komn. 24 IMO: 5103272 Email: office@arkship.com; safety@arkship.com Company Website:"
MB-20,173597,,ЛК-27,UFGE,Petropavlovsk-Kamchatskiy,Russia,KM(*) L3 [1] R3,,Crewboat,20/06/1980,USSR,27,,,65,,19.000 t.,89 t.,23.10 m.,23.10 m.,19.62 m.,5.80 m.,2.80 m.,1.80 m.,12.0,Diesel,Built ME: 2017 Country Construction: China The company has built ME: The number and power of ME: 1*295 Mark ME: WP12C400-18Built ME: 2017 Country Construction: China The company has built ME: The number and power of ME: 1*295 Mark ME: WP12C400-18,,2 - Fixed pitched solid propeller,4,1* 24 1* 24,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder GMDSS ship earth station Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,,,,,,,9,Diesel oil,,,52,Cat1,14.0,"Rybolovetskaya artel ""Olyutorskaya""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Pogranichnaya, d. 21, kv. 78 IMO: Email: raolutorskay@mail.ru Company Website:","Rybolovetskaya artel ""Olyutorskaya""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Pogranichnaya, d. 21, kv. 78 IMO: Email: raolutorskay@mail.ru Company Website:",,,
NEON,906895,9004293,KATSUEI MARU NO. 78,UBUO7,Nevelsk,Russia,(KM)* fishing vessel,,Fishing,22/02/1991,Japan,563,,,586 MK-1969,175 MK-1969,413.000 t.,1063 t.,55.11 m.,55.11 m.,48.00 m.,8.70 m.,3.75 m.,3.57 m.,11.0,Diesel,Built ME: 1991 Country Construction: Japan The company has built ME: The number and power of ME: 1*735 Mark ME: T260-ET2,,1 - Controllable pitch propeller,4,2* 320,,,+3,R22,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,2* 556,,,1,4,,,,Р 1 - 1.1*1.2Р 1 - 1.8*1.8Р 1 - 1.3*1.0,,,177,Diesel oil,,,251,Cat2,28.0,"Moneron Co., Ltd  Address: Russia, 693007 Yuzhno-Sakhalinsk, ul. Chekhova, d. 71 IMO: Email: moneron-65@mail.ru Company Website:","Moneron Co., Ltd  Address: Russia, 693007 Yuzhno-Sakhalinsk, ul. Chekhova, d. 71 IMO: Email: moneron-65@mail.ru Company Website:",,,
TIKSY,906908,8821802,ACHTERGRAHT,UFVH,Arkhangelsk,Russia,KM* L1 AUT1,,General cargo,14/04/1990,The Netherlands,953,,,7949 MK-1969,4157 MK-1969,12239.000 t.,16034 t.,129.50 m.,129.50 m.,120.67 m.,18.90 m.,11.65 m.,8.60 m.,13.0,Diesel,Built ME: 1989 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 1*4920 Mark ME: W12V32E,,1 - Controllable pitch propeller,4,4* 320,,,,,"Automatic identification system Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system Depth sounder Digital selective calling receiver Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Simplified voyage data recorder Two-way radio-telephone apparatus Two-way VHF radiotelephone apparatus for communication with aircraft VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*14786,,,678,1,4,,,,,,3*40.0,1239,Heavy oil,4048 m3,,1070,Cat3,50.0,"LLC ""TC Nord Project""  Address: Russia, 163069 Arkhangelsk, nab. Severnoy Dviny, d. 71, korp. 1, of. 308 IMO: 5825809 Email: info@tcnordproject.ru; nastavnik@tcnordproject.ru; superin@tcnordproject.ru Company Website: www.tcnordproject.ru",,,"LLC ""TC Nord Project""  Address: Russia, 163069 Arkhangelsk, nab. Severnoy Dviny, d. 71, korp. 1, of. 308 IMO: 5825809 Email: info@tcnordproject.ru; nastavnik@tcnordproject.ru; superin@tcnordproject.ru Company Website: www.tcnordproject.ru","LLC ""TC Nord Project""  Address: Russia, 163069 Arkhangelsk, nab. Severnoy Dviny, d. 71, korp. 1, of. 308 IMO: 5825809 Email: info@tcnordproject.ru; nastavnik@tcnordproject.ru; superin@tcnordproject.ru Company Website: www.tcnordproject.ru"
SASCO ANGARA,010591,9242986,MERVEDIJK,UBUO6,Kholmsk,Russia,KM* IA AUT1 container ship,,Container ship,01/04/2001,Germany,193,,,6420 MK-1969,3240 MK-1969,8419.000 t.,12015 t.,132.30 m.,132.23 m.,125.50 m.,19.40 m.,9.45 m.,7.36 m.,17.2,Diesel,Built ME: 2001 Country Construction: Germany The company has built ME: Caterpillar Motoren GmbH & CO KG The number and power of ME: 1*7200 Mark ME: 8M43,,1 - Controllable pitch propeller,4,2* 400 1* 800,,,,,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Simplified voyage data recorder Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,707,1,6,,,,,,,571,Diesel oil,3456 m3,,1400,Cat3,50.0,"""SAKHALIN SHIPPING COMPANY"", JOINT-STOCK COMPANY  Address: Russia, 694620 Sakhalinskaya obl., Kholmsk, ul. Pobedy, 18-A IMO: 0555686 Email: chief@sasco.ru Company Website:","""SAKHALIN SHIPPING COMPANY"", JOINT-STOCK COMPANY  Address: Russia, 694620 Sakhalinskaya obl., Kholmsk, ul. Pobedy, 18-A IMO: 0555686 Email: chief@sasco.ru Company Website:",,"""SAKHALIN SHIPPING COMPANY"", JOINT-STOCK COMPANY  Address: Russia, 694620 Sakhalinskaya obl., Kholmsk, ul. Pobedy, 18-A IMO: 0555686 Email: chief@sasco.ru Company Website:","""SAKHALIN SHIPPING COMPANY"", JOINT-STOCK COMPANY  Address: Russia, 694620 Sakhalinskaya obl., Kholmsk, ul. Pobedy, 18-A IMO: 0555686 Email: chief@sasco.ru Company Website:"
ММП-1,897573,,ММП-1,,Bolshoy port of St.-Petersburg,Russia,K* R3 pontoon for transportation services,,Barge,01/07/1989,USSR,,,,467,140,548.000 t.,1000 t.,35.28 m.,35.28 m.,35.28 m.,15.60 m.,3.10 m.,2.00 m.,,Non-propel,,,,,,,,,,,,,,,1,6,,,,,,,,,514 m3,,128,Cat1,25.0,"""MEZHREGIONTRUBOPROVODSTROY"", JOINT-STOCK COMPANY  Address: Russia, 117036 Moscow, Novocheremushkinskaya ulitsa, 18 IMO: Email: mrts@mrts.ru Company Website:","""MPaT-Shipmanagement"" Limited Company  Address: Russia, 197343 St.Petersburg, ul. Matrosa Zheleznyaka, d. 57, lit. A, pom. 101-N IMO: 5842223 Email: om@mpatltd.com; td@mpatltd.com; info@mpatltd.com Company Website:","""MPaT-Shipmanagement"" Limited Company  Address: Russia, 197343 St.Petersburg, ul. Matrosa Zheleznyaka, d. 57, lit. A, pom. 101-N IMO: 5842223 Email: om@mpatltd.com; td@mpatltd.com; info@mpatltd.com Company Website:",,
POSEYDON,888023,8821383,MATSUEI MARU 58,UBSO3,Vanino,Russia,(KM)* fishing vessel,,Fishing,06/01/1989,Japan,2123,,,646 MK-1969,301 MK-1969,328.000 t.,966 t.,52.93 m.,52.93 m.,46.80 m.,8.70 m.,3.80 m.,3.44 m.,10.5,Diesel,Built ME: 1988 Country Construction: Japan The company has built ME: The number and power of ME: 1*698 Mark ME: 6M28BFT,,1 - Controllable pitch propeller,4,2* 308,,,-28,R22,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,3* 596,,,1,4,,,,Р 1 - 1.9*1.9Р 1 - 1.0*1.9Р 1 - 0.8*1.0,,,237,Diesel oil,,,242,Cat1,30.0,"JSC TEFIDA  Address: Russia, 690002 Vladivostok, Okeanskiy prospekt, d. 131v, office 901 IMO: Email: tefida-vl@mail.ru Company Website:","JSC TEFIDA  Address: Russia, 690002 Vladivostok, Okeanskiy prospekt, d. 131v, office 901 IMO: Email: tefida-vl@mail.ru Company Website:",,,
FLORIN,941757,9119880,FLORIN,UBUO8,Vanino,Russia,(KM)* fishing vessel,,Fishing,15/03/1995,Japan,3363,,,799 MK-1969,239 MK-1969,378.000 t.,1150 t.,62.66 m.,62.66 m.,55.00 m.,9.40 m.,4.25 m.,3.70 m.,11.0,Diesel,Built ME: 1994 Country Construction: Japan The company has built ME: The number and power of ME: 1*2427 Mark ME: 8U28AK,,1 - Fixed pitched solid propeller,4,2* 500,,,0,R22,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,1* 327,,,1,6,,,,Р 1 - 1.7*1.7Р 1 - 1.4*2.4,,,304,Diesel oil,,,271,Cat2,30.0,"""Dalnevostochnoe poberezhe"" Co.Ltd  Address: Russia, 680011 Khabarovskiy kr., Khabarovsk, ul. Dzhambula, d. 80/1, pom. 14 IMO: Email: vav0265@mail.ru; m.miloserdova@dvpshipping.ru; mr.mmakarov@gmail.com Company Website:","""Dalnevostochnoe poberezhe"" Co.Ltd  Address: Russia, 680011 Khabarovskiy kr., Khabarovsk, ul. Dzhambula, d. 80/1, pom. 14 IMO: Email: vav0265@mail.ru; m.miloserdova@dvpshipping.ru; mr.mmakarov@gmail.com Company Website:",,,
ASKOLD,160382,9816488,ASKOLD,UBOU2,Vladivostok,Russia,KM(*) Ice3 R1 AUT1 tug,,Tug,22/05/2020,China,512703,,,185,55,95.000 t.,451 t.,26.45 m.,25.50 m.,22.59 m.,9.54 m.,4.30 m.,3.45 m.,,Diesel,Built ME: Country Construction: United States of America The company has built ME: The number and power of ME: 2*1305 Mark ME: 3512C,,2 - Swingning propeller unit,4,2* 69,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder GMDSS ship earth station with GLONASS Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,,,,,,,,Diesel oil,,,,Cat2,17.5,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru","FGUP ""Rosmorport"" Vostochnoe upravlenie Dalnevostochnogo basseynovogo filiala  Address: Russia, 690012 Vladivostok, ul. Kalinina, d. 182 IMO: Email: mail@dvf.rosmorport.ru Company Website:",,
