,Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
332,ТЕЛЕЦ,171052,,ИНЖЕНЕР КОСТЫРЕВ,,Nakhodka,Russia,KM(*) [1] R3,,Launch,03/07/1970,USSR,,,,61,18,12.000 t.,67 t.,21.80 m.,21.80 m.,19.00 m.,5.30 m.,2.62 m.,1.63 m.,9.5,Diesel,"Built ME: 1986 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 7Д6",,1 - Fixed pitched solid propeller,4,1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,3,Diesel oil,2 m3,,30,Cat1,15.0,"Onatskiy Ivan Petrovich  Address: Russia, 692921 Primorskiy kray, g. Nakhodka, ul. Rybatskaya, d. 17A, kv.24 IMO: Email: rof77@mail.ru Company Website:","Onatskiy Ivan Petrovich  Address: Russia, 692921 Primorskiy kray, g. Nakhodka, ul. Rybatskaya, d. 17A, kv.24 IMO: Email: rof77@mail.ru Company Website:",,,
333,МБ-344,171077,,,,Vladivostok,Russia,KM(*) L3 R2 tug,,Tug,20/12/1975,USSR,,,,77,23,14.000 t.,106 t.,23.40 m.,23.40 m.,21.51 m.,5.87 m.,2.60 m.,1.90 m.,10.9,Diesel,Built ME: 1991 Country Construction: Russia The company has built ME: The number and power of ME: 1*230 Mark ME: 8CHNSP 18/22-1,,1 - Fixed pitched solid propeller,4,3* 13,,,,,"Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF emergency position-indicating radio beacon with digital selective calling VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,7,Diesel oil,0 m3,,70,Cat1,19.0,"""TERNEYLES"", JOINT-STOCK COMPANY  Address: Russia, 692152 Primorskiy kray, poselok Plastun IMO: Email: company@terneyles.ru Company Website:","""TERNEYLES"", JOINT-STOCK COMPANY  Address: Russia, 692152 Primorskiy kray, poselok Plastun IMO: Email: company@terneyles.ru Company Website:",,,
334,МБ-356,171079,,,UFPU,Vladivostok,Russia,KM(*) L3 R2 tug,,Tug,11/07/1978,USSR,,,,77,23,15.000 t.,106 t.,23.40 m.,23.40 m.,21.50 m.,5.87 m.,2.60 m.,1.89 m.,10.9,Diesel,Built ME: 1977 Country Construction: USSR The company has built ME: The number and power of ME: 1*230 Mark ME: 8CHNSP 18/22-1,,1 - Fixed pitched solid propeller,4,1* 13 1* 14,,,,,"Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF emergency position-indicating radio beacon with digital selective calling VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,7,Diesel oil,0 m3,,70,Cat3,19.0,"""TERNEYLES"", JOINT-STOCK COMPANY  Address: Russia, 692152 Primorskiy kray, poselok Plastun IMO: Email: company@terneyles.ru Company Website:","""TERNEYLES"", JOINT-STOCK COMPANY  Address: Russia, 692152 Primorskiy kray, poselok Plastun IMO: Email: company@terneyles.ru Company Website:",,,
335,MB-348,171081,,,,Vladivostok,Russia,KM(*) L3 R2 tug,,Tug,18/11/1976,USSR,,,,78 MK-1969,23 MK-1969,15.000 t.,106 t.,23.40 m.,23.40 m.,21.50 m.,5.70 m.,2.61 m.,1.85 m.,10.9,Diesel,Built ME: 1985 Country Construction: USSR The company has built ME: DALDIESEL-DV LTD The number and power of ME: 1*231 Mark ME: 6CHNSP 18/22,,1 - Fixed pitched solid propeller,4,1* 22 2* 13,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,0,Diesel oil,0 m3,,70,Cat1,19.0,"""TERNEYLES"", JOINT-STOCK COMPANY  Address: Russia, 692152 Primorskiy kray, poselok Plastun IMO: Email: company@terneyles.ru Company Website:",,,,
336,MB-369,171083,,,,Nakhodka,Russia,KM(*) L3 R1 tug,,Tug,30/12/1980,USSR,,,,78,23,15.000 t.,106 t.,23.40 m.,23.40 m.,21.50 m.,5.87 m.,2.60 m.,1.85 m.,10.5,Diesel,Built ME: 1991 Country Construction: Russia The company has built ME: DALDIESEL-DV LTD The number and power of ME: 1*221 Mark ME: 8 CHNSP 2A 18/22-315-3,,1 - Fixed pitched solid propeller,4,1* 14 1* 13,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,0,Diesel oil,0 m3,,60,Cat1,19.0,"Aktsionernoe obshchestvo ""Primorskie lesopromyshlenniki""  Address: Russia, 690091 Vladivostok, ulitsa Sukhanova 3 IMO: 1518816 Email: plp_vldv@list.ru Company Website:","Aktsionernoe obshchestvo ""Primorskie lesopromyshlenniki""  Address: Russia, 690091 Vladivostok, ulitsa Sukhanova 3 IMO: 1518816 Email: plp_vldv@list.ru Company Website:",,,
337,МБ-390,171084,,,,Vladivostok,Russia,KM(*) L3 R2 tug,,Tug,12/09/1986,USSR,,,,78,23,15.000 t.,106 t.,23.40 m.,23.40 m.,21.50 m.,5.87 m.,2.61 m.,1.86 m.,10.9,Diesel,Built ME: 1986 Country Construction: USSR The company has built ME: DALDIESEL-DV LTD The number and power of ME: 1*230 Mark ME: 8CHNSP 18/22-1,,1 - Fixed pitched solid propeller,4,1* 25 1* 13,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,1,0,0,0,,,,0,Diesel oil,0 m3,,70,Cat1,19.0,"""TERNEYLES"", JOINT-STOCK COMPANY  Address: Russia, 692152 Primorskiy kray, poselok Plastun IMO: Email: company@terneyles.ru Company Website:",,,,
338,МРС-150-028,171095,,,,Nakhodka,Russia,KM(*) R2 fishing vessel,,Fishing,30/05/1981,USSR,,,,59,18,23.000 t.,104 t.,22.05 m.,22.05 m.,19.71 m.,6.18 m.,2.65 m.,1.60 m.,9.0,Diesel,"Built ME: 2010 Country Construction: Korea The company has built ME: HYUNDAI DOOSAN INFRACORE CO., LTD The number and power of ME: 1*235 Mark ME: MD196TI",,1 - Fixed pitched solid propeller,4,1* 28,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",1*22,,,,1,4,0,0,0,D 1 - 2.3*1.5,,,0,,0 m3,,0,,0.0,"""Svetloe more"" LLC  Address: Russia, 690039 Primorskiy kray, Vladivostok, ul. Eniseyskaya, dom 7, office 404 IMO: Email: trierasea@gmail.com; trierabuh@yandex.ru Company Website:","YUNIA LTD  Address: Russia, 692801 Primorskiy kr., Bolshoy Kameny, ul. Gorkogo, d. 5, kv. 17 IMO: Email: yunia1@mail.ru Company Website:",,,
339,МНМС-89,171099,,,,Nakhodka,Russia,KM(*) R3 oil recovery ship,,Oil recovery ship,19/04/1986,USSR,,,,34,10,25.000 t.,71 t.,17.71 m.,17.71 m.,17.00 m.,4.61 m.,2.40 m.,1.68 m.,5.0,Diesel,Built ME: 2011 Country Construction: Russia The company has built ME: The number and power of ME: 1*99 Mark ME: 6CHSP 13/14,,1 - Fixed pitched solid propeller,4,1* 1,,,,,"Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,11.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru",,,
340,МРС-084,171104,,,,Nakhodka,Russia,KM(*) L3 R1 fishing vessel,,Fishing,26/05/1975,,,,,80,24,31.000 t.,146 t.,23.77 m.,23.77 m.,21.14 m.,6.16 m.,2.68 m.,1.93 m.,9.1,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50 1* 25,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"PRIM-TRANZIT CO LTD  Address: Russia, 692806 Primorskiy kray, g. Bolshoy Kameny, ul.Gagarina, 16-129 IMO: Email: yunia1@mail.ru Company Website:","PRIM-TRANZIT CO LTD  Address: Russia, 692806 Primorskiy kray, g. Bolshoy Kameny, ul.Gagarina, 16-129 IMO: Email: yunia1@mail.ru Company Website:",,,
341,МРС-086,171105,,,UGUI,Nakhodka,Russia,KM(*) L3 R1 fishing vessel,,Fishing,01/06/1975,USSR,086,,,80,24,25.000 t.,145 t.,23.77 m.,23.77 m.,21.14 m.,6.16 m.,2.68 m.,1.93 m.,9.1,Diesel,Built ME: 1974 Country Construction: USSR The company has built ME: DALDIESEL-DV LTD The number and power of ME: 1*165 Mark ME: 6CHNSP 18/22,,1 - Fixed pitched solid propeller,4,1* 60 1* 28,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",1*43,,,,1,4,0,0,0,D 1 - 2.0*1.4,,,0,Diesel oil,0 m3,,60,Cat1,19.0,"""RIF"" LLC  Address: Russia, 692841 Shtykovo, per. Shkolnyy, d. 3, kv. 2 IMO: Email: stepanov.mitiy@yandex.ru Company Website:","""RIF"" LLC  Address: Russia, 692841 Shtykovo, per. Shkolnyy, d. 3, kv. 2 IMO: Email: stepanov.mitiy@yandex.ru Company Website:",,,
342,MRS-R-05,171108,,,,Vladivostok,Russia,KM(*) Ice1 R3 fishing vessel,,Fishing,10/09/1976,USSR,,,,80,24,25.000 t.,120 t.,21.14 m.,21.14 m.,0.00 m.,6.00 m.,2.68 m.,1.92 m.,10.0,Diesel,Built ME: 1976 Country Construction: USSR The company has built ME: DALDIESEL-DV LTD The number and power of ME: 1*165 Mark ME: 6CHNSP 18/22,,1 - Fixed pitched solid propeller,4,1* 50 1* 28,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Public address system Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,19.0,"""RIBATSKIY PUTE"" CO., LTD  Address: Russia, 692954 Nakhodka, pos.Yuzhno-Morskoy, ul.Vostochnaya, 39 IMO: Email: rybatsky1@list.ru; rybatskyglbuh@list.ru Company Website:",,,,
343,МРС-150-239,171110,,,,Nakhodka,Russia,KM(*) R2 fishing vessel,,Fishing,25/06/1983,Russia,239,,,61,18,25.000 t.,104 t.,22.05 m.,22.05 m.,19.71 m.,6.18 m.,2.65 m.,1.74 m.,9.0,Diesel,Built ME: 2016 Country Construction: Korea The company has built ME: The number and power of ME: 1*235 Mark ME: MD196TI,,1 - Fixed pitched solid propeller,4,1* 28,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",1*22,,,,1,4,0,0,0,1 - 2.3*1.5,,,5,Diesel oil,0 m3,,85,Cat1,15.0,"Индивидуальный предприниматель Макаров Сергей Владимирович  Address: Russia, 681029 Khabarovskiy kray, Komsomolsk-na-Amure, pereulok Aleksandrovskiy, dom 7 IMO: Email: apinvest.f@gmail.com Company Website:","Общество с ограниченной ответственностью ""АКВАПРОМ ИНВЕСТ""  Address: Russia, 690022 Vladivostok, ul. Lesnaya, zd. 19G, of. 1 IMO: Email: apinvest.d@gmail.com Company Website:",,,
344,МРС-150-264,171116,,,,Nakhodka,Russia,KM(*) R2 fishing vessel,,Fishing,20/10/1984,USSR,,,,61,18,25.000 t.,107 t.,22.05 m.,22.05 m.,19.22 m.,6.18 m.,2.65 m.,1.69 m.,9.7,Diesel,"Built ME: 2012 Country Construction: Korea The company has built ME: HYUNDAI DOOSAN INFRACORE CO., LTD The number and power of ME: 1*235 Mark ME: MD196TI",,,0,1* 28,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",1*26,,,,1,4,0,0,0,D 1 - 2.3*1.5,,,0,,0 m3,,0,,0.0,"Макаров Сергей Владимирович  Address: 682848 Khabarovskiy kray, Sovetsko-Gavanskiy rayon, p. Lososina, Portovyy proezd, d. 17 IMO: Email: dvrybak2019@mail.ru Company Website:","Общество с ограниченной ответственностью ""АКВАПРОМ ИНВЕСТ""  Address: Russia, 690022 Vladivostok, ul. Lesnaya, zd. 19G, of. 1 IMO: Email: apinvest.d@gmail.com Company Website:",,,
345,НЕПТУН,171126,,,,Nakhodka,Russia,KM(*) L3 [1] R3,,Pilot,20/10/1982,USSR,,,,64,19,12.000 t.,0 t.,23.10 m.,23.10 m.,0.00 m.,5.80 m.,2.80 m.,1.80 m.,0.0,Diesel,Built ME: 2014 Country Construction: China The company has built ME: The number and power of ME: 2*220 Mark ME: WD618C-22,,2 - Fixed pitched solid propeller,4,1* 21 2* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,13.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru",,,
346,GEFEST,171135,,ОРИЕНТИР,,Nakhodka,Russia,KM(*) L3 R3,,Pilot,12/05/1971,USSR,,,,52,17,10.000 t.,0 t.,20.18 m.,20.18 m.,17.30 m.,4.87 m.,2.52 m.,0.00 m.,10.0,Diesel,"Built ME: 1995 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME:",,1 - Fixed pitched solid propeller,4,1* 10 1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,5,0,0,0,,,,0,Diesel oil,0 m3,,30,Cat1,13.0,"IP Roshchin Vil Nikolaevich  Address: Russia, 692904 Nakhodka, Nakhodkinskiy prospekt, d. 12, office 1206 IMO: Email: Roshchinvn.ip@mail.ru Company Website:","IP Roshchin Vil Nikolaevich  Address: Russia, 692904 Nakhodka, Nakhodkinskiy prospekt, d. 12, office 1206 IMO: Email: Roshchinvn.ip@mail.ru Company Website:",,,
347,РБТ-224,171142,,,,Kholmsk,Russia,KM(*) L3 R3 tug,,Tug,01/01/1966,USSR,224,,,12,9,9.000 t.,36 t.,14.30 m.,-,13.50 m.,3.70 m.,2.30 m.,1.43 m.,9.5,Diesel,"Built ME: 1990 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 6CHSP 15/18Built ME: 1991 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 6CHSP 15/18",,2 - Fixed pitched solid propeller,4,2* 2,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,7,Diesel oil,0 m3,,50,Cat1,15.0,"Morskoe agentstvo ""Sakhalin-Shelf-Flot Co., Ltd  Address: Russia, 693000 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Kurilskaya, d. 38, of. 7 IMO: Email: vm622606@trebol.ru Company Website:","Morskoe agentstvo ""Sakhalin-Shelf-Flot Co., Ltd  Address: Russia, 693000 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Kurilskaya, d. 38, of. 7 IMO: Email: vm622606@trebol.ru Company Website:",,,
348,REZVYY,171144,,РБТ-240,,Kholmsk,Russia,KM(*) L3 R3 tug,,Tug,26/08/1968,USSR,,,,12,0,10.000 t.,39 t.,14.30 m.,-,13.50 m.,3.82 m.,2.30 m.,1.71 m.,0.0,Diesel,"Built ME: 1996 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6Built ME: 1997 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6",,,0,,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,Diesel oil,0 m3,,25,Cat1,15.0,"Morskoe agentstvo ""Sakhalin-Shelf-Flot Co., Ltd  Address: Russia, 693000 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Kurilskaya, d. 38, of. 7 IMO: Email: vm622606@trebol.ru Company Website:","Morskoe agentstvo ""Sakhalin-Shelf-Flot Co., Ltd  Address: Russia, 693000 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Kurilskaya, d. 38, of. 7 IMO: Email: vm622606@trebol.ru Company Website:",,,
349,RBT-379,171149,,,,Nakhodka,Russia,KM(*) L3 R3 tug,,Tug,09/10/1961,USSR,,,,22,6,10.000 t.,0 t.,14.20 m.,14.20 m.,14.10 m.,3.82 m.,2.30 m.,1.50 m.,9.5,Diesel,"Built ME: 1990 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: Built ME: 1993 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME:",,2 - Fixed pitched solid propeller,4,2* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,6,0,0,0,,,,0,Diesel oil,0 m3,,20,Cat1,16.0,"EASTING OIL GROUP Company Limited  Address: Russia, 692904, Primorskiy kray, g. Nakhodka, ul. Portovaya 3-A. office 17 IMO: Email: Vngoffice@mail.ru Company Website:",,,,
350,РУМБ,171154,,,,Nakhodka,Russia,KM(*) L3 [1] R3,,Pilot,13/07/1989,USSR,96,,,80,24,15.000 t.,86 t.,23.10 m.,23.10 m.,19.68 m.,5.80 m.,2.80 m.,1.80 m.,12.0,Diesel,Built ME: Country Construction: China The company has built ME: The number and power of ME: 2*220 Mark ME: WD618C-22,,2 - Fixed pitched solid propeller,4,1* 20 2* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radar Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,Diesel oil,0 m3,,50,Cat1,16.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru",,,
351,STVOR,171161,,,,Nakhodka,Russia,KM(*) L3 R3,,Pilot,01/01/1973,USSR,,,,52,18,10.000 t.,49 t.,17.30 m.,20.18 m.,0.00 m.,4.55 m.,2.52 m.,1.49 m.,0.0,Diesel,"Built ME: 1995 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME: 3D12",,1 - Fixed pitched solid propeller,4,1* 10 1* 2,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,,,1,4,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,13.0,"Onatskiy Ivan Petrovich  Address: Russia, 692921 Primorskiy kray, g. Nakhodka, ul. Rybatskaya, d. 17A, kv.24 IMO: Email: rof77@mail.ru Company Website:","Onatskiy Ivan Petrovich  Address: Russia, 692921 Primorskiy kray, g. Nakhodka, ul. Rybatskaya, d. 17A, kv.24 IMO: Email: rof77@mail.ru Company Website:",,,
352,FLYUORIT,171170,,,,Nakhodka,Russia,KM(*) [1] R3,,Crewboat,25/10/1978,USSR,,,,58,23,11.000 t.,66 t.,21.80 m.,21.32 m.,18.31 m.,5.32 m.,2.62 m.,1.58 m.,9.5,Diesel,"Built ME: 1988 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6",,1 - Fixed pitched solid propeller,4,1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,13.0,"Individualnyy predprinimatel Onatskiy Ivan Petrovich  Address: Russia, 692921 Primorskiy kr., Nakhodka ul. Rybatskaya, d. 17 ""A"", kv. 24 IMO: Email: rof77@mail.ru Company Website:",,,,
353,ЯМШИТ,171174,,РК-32,,Nakhodka,Russia,KM(*) [1] R3,,Crewboat,18/06/1971,USSR,,,,61,18,11.000 t.,64 t.,21.80 m.,21.80 m.,19.00 m.,5.30 m.,2.62 m.,1.54 m.,9.5,Diesel,"Built ME: 1990 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S",,1 - Fixed pitched solid propeller,4,1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,,2 m3,,40,Cat1,15.0,"Individualnyy predprinimatel Onatskiy Ivan Petrovich  Address: Russia, 692921 Primorskiy kr., Nakhodka ul. Rybatskaya, d. 17 ""A"", kv. 24 IMO: Email: rof77@mail.ru Company Website:",,,,
354,ЯХОНТ,171176,,РК-3,,Nakhodka,Russia,KM(*) R3,,Crewboat,15/11/1969,USSR,,,,52,23,12.000 t.,67 t.,20.86 m.,20.86 m.,19.00 m.,5.30 m.,2.62 m.,1.54 m.,9.5,Diesel,Built ME: 2014 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 1,,,,,,,,,,1,4,0,0,0,,,,0,Diesel oil,2 m3,,40,Cat1,15.0,"SK PORTOVYY FLOT LTD  Address: Russia, 692926 Primorskiy kr., Nakhodka-26, a/ya 52 IMO: Email: tugboat.nakhodka@gmail.com Company Website:","SK PORTOVYY FLOT LTD  Address: Russia, 692926 Primorskiy kr., Nakhodka-26, a/ya 52 IMO: Email: tugboat.nakhodka@gmail.com Company Website:","PORT-MARKET CO LTD  Address: Russia, 692926 Primorskiy kray, g. Nakhodka, a/ya 49 IMO: 5108239 Email: port-market@inbox.ru Company Website:",,
355,YASHMA,171177,,РК-26,,Nakhodka,Russia,KM(*) [1] R3,,Crewboat,20/08/1970,USSR,26,,,60,18,12.000 t.,67 t.,21.80 m.,21.80 m.,19.00 m.,5.30 m.,2.62 m.,1.63 m.,9.5,Diesel,"Built ME: 1990 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S2-011",,1 - Fixed pitched solid propeller,4,1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,Diesel oil,2 m3,,40,Cat1,15.0,"Individualnyy predprinimatel Onatskiy Ivan Petrovich  Address: Russia, 692921 Primorskiy kr., Nakhodka ul. Rybatskaya, d. 17 ""A"", kv. 24 IMO: Email: rof77@mail.ru Company Website:",,,,
